"10";"Strandmöllen AB, Vårby Tekniklager"
"15";"Strandmöllen AB, Haninge"
"20";"Strandmöllen AB, Malmö  Tekniklager"
"25";"Strandmöllen AB, Malmö  Huvudlager Sverige"
"50";"Strandmöllen AB, Ljungby Tekniklager"
"55";"Strandmöllen AB, Ljungby Huvudlager Sverige"
"90";"Strandmøllen A/S Ejby"
"9001";"GG Industri & Bygg"
"9002";"T J Bildemontering, Trelleborg"
"9003";"Johans Järn, Anderslöv"
"9004";"B A Montering AB"
"9005";"Liljenbergs, Hässleholm"
"9006";"IP Produkter i Reftele AB"
"9007";"Säljarna i Christianstad"
"9008";"Opus Prodox"
"9009";"Särö Svagström AB"
"9010";"Lagerbutiken Stockaryd"
"9012";"AB K Berggrens Metalia, Simrishamn"
"9013";"Svetsteknik i Småland AB, Växjö"
"9014";"Ring Gas AB, Klippan"
"9015";"JC Byggnadssmide, Laholm"
"9016";"Bosse Gasol"
"9018";"All-Kommers AB, Nyköping"
"9022";"AB SMK"
"9023";"Fagon, Eslöv"
"9025";"Fractec Sweden AB, Osby"
"9026";"Eksandh AB, Malmö"
"9027";"Uppvidinge Järn & Maskin AB, Åseda"
"9028";"ÖP Energi AB, Linköping"
"9029";"Olander Sjöstrand Fsg AB, Göteborg"
"9030";"Strandmöllen AB, Göteborg"
"9032";"Svets och Tillbehör, Ystad"
"9033";"Lidip AB, Lidköping"
"9034";"Salanders Åkeri AB"
"9035";"Sohlbergs i Jönköping AB - Depå"
"9036";"Ringdahl"
"9037";"Skärpunkten i Harplinge"
"9106";"Wijk Trading AB"
"9109";"Strandmöllen AB Ljungby -Lastbil"
