"1002M3Q2";"SE";"Sverige"
"1003F4";"SE";"Sverige"
"1003M3Q";"SE";"Sverige"
"1003M3Q";"SV";"Sverige"
"1003M3Q2";"SE";"Sverige"
"1003M3Q2H";"DK-SV";"Danmark-Sverige"
"1003M3Q2H";"SE";"Sverige"
"1005M3Q2";"SE";"Sverige"
"1010";"DK-SV";"Danmark-Sverige"
"101052S";"DK-SV";"Danmark-Sverige"
"1010F";"DK";"Danmark"
"1010F";"SE";"Sverige"
"1020";"DK-SV";"Danmark-Sverige"
"102035P";"DK-SV";"Danmark-Sverige"
"102050S";"DK-SV";"Danmark-Sverige"
"102052S";"DK-SV";"Danmark-Sverige"
"1020F";"DK";"Danmark"
"1020Q";"DK-SV";"Danmark-Sverige"
"1050";"DK-SV";"Danmark-Sverige"
"105035P";"DK-SV";"Danmark-Sverige"
"105050S";"DK-SV";"Danmark-Sverige"
"105052S";"DK-SV";"Danmark-Sverige"
"105052SB";"DK-SV";"Danmark-Sverige"
"1050F";"DK";"Danmark"
"1050F";"SE";"Sverige"
"1050FA";"DK";"Danmark"
"1050FA";"SE";"Sverige"
"1050L";"DK-SV";"Danmark-Sverige"
"1050Q";"DK-SV";"Danmark-Sverige"
"1085";"DK-SV";"Danmark-Sverige"
"108535P";"DK-SV";"Danmark-Sverige"
"108552S";"DK-SV";"Danmark-Sverige"
"1088";"DK-SV";"Danmark-Sverige"
"108835P";"DK-SV";"Danmark-Sverige"
"111050S";"DK-SV";"Danmark-Sverige"
"111060S";"DK-SV";"Danmark-Sverige"
"1120";"DK-SV";"Danmark-Sverige"
"112045";"DK-SV";"Danmark-Sverige"
"112050S";"DK-SV";"Danmark-Sverige"
"112056S";"DK-SV";"Danmark-Sverige"
"112060S";"DK-SV";"Danmark-Sverige"
"1150";"DK-SV";"Danmark-Sverige"
"115045";"DK-SV";"Danmark-Sverige"
"115050S";"DK-SV";"Danmark-Sverige"
"115056S";"DK-SV";"Danmark-Sverige"
"115060SB";"DK-SV";"Danmark-Sverige"
"1150F";"DK";"Danmark"
"1150F";"SE";"Sverige"
"1150HT";"DK-SV";"Danmark-Sverige"
"1150L";"DK-SV";"Danmark-Sverige"
"1162LT";"DK-SV";"Danmark-Sverige"
"1163";"DK-SV";"Danmark-Sverige"
"1166";"DK-SV";"Danmark-Sverige"
"1167";"DK-SV";"Danmark-Sverige"
"1168";"DK-SV";"Danmark-Sverige"
"1184";"DK-SV";"Danmark-Sverige"
"1185";"DK-SV";"Danmark-Sverige"
"118545";"DK-SV";"Danmark-Sverige"
"118550S";"DK-SV";"Danmark-Sverige"
"118556S";"DK-SV";"Danmark-Sverige"
"1185F";"DK-SV";"Danmark-Sverige"
"1185L";"DK-SV";"Danmark-Sverige"
"1188";"DK-SV";"Danmark-Sverige"
"118845";"DK-SV";"Danmark-Sverige"
"118850S";"DK-SV";"Danmark-Sverige"
"1188L";"DK-SV";"Danmark-Sverige"
"1210";"DK-SV";"Danmark-Sverige"
"121060SB";"DK-SV";"Danmark-Sverige"
"1220";"DK-SV";"Danmark-Sverige"
"1220451";"DK-SV";"Danmark-Sverige"
"122050S";"DK-SV";"Danmark-Sverige"
"122055S";"DK-SV";"Danmark-Sverige"
"122060S";"DK-SV";"Danmark-Sverige"
"1220Q";"DK-SV";"Danmark-Sverige"
"1250";"DK-SV";"Danmark-Sverige"
"1250451";"DK-SV";"Danmark-Sverige"
"125050S";"DK-SV";"Danmark-Sverige"
"125050SHT";"DK-SV";"Danmark-Sverige"
"125055S";"DK-SV";"Danmark-Sverige"
"125060S";"DK-SV";"Danmark-Sverige"
"125060SB";"DK-SV";"Danmark-Sverige"
"1250Q";"DK-SV";"Danmark-Sverige"
"1285";"DK-SV";"Danmark-Sverige"
"1285451";"DK-SV";"Danmark-Sverige"
"128550S";"DK-SV";"Danmark-Sverige"
"128560S";"DK-SV";"Danmark-Sverige"
"1288";"DK-SV";"Danmark-Sverige"
"1288451";"DK-SV";"Danmark-Sverige"
"128850S";"DK-SV";"Danmark-Sverige"
"1320";"DK-SV";"Danmark-Sverige"
"1350";"DK-SV";"Danmark-Sverige"
"1350F";"DK";"Danmark"
